PARCEL_NO,ParcelNo
19 6300.,19006300.
22 124619.,22124619.
13 6809.,13006809.
13 6809.,13006809.
13 6809.,13006809.
16 44677.,16044677.
21 28097-106,21028097-106
21 34880.,21034880.
21 29216.002L,21029216.002L
22 56595.,22056595.
22 30869.001,22030869.001
1  275.,0100 275.
1  3949.,010 3949.
8  9205.,080 9205.
1  339-477,0100 339-477
20 11907.,20011907.
21 58668.,21058668.
20 10493.,20010493.
22 44558.,22044558.
22 111554.,22111554.
13 9088.,13009088.
14 5846.,14005846.
21 18120.,21018120.
6  2580.,060 2580.
21 33691.,21033691.
22 11036-42,22011036-42
16 26458.,16026458.
16 25886.,16025886.
2  404.,0200 404.
22 107443.002L,22107443.002L
12 5688.,12005688.
22 95707.,22095707.
21 50327.,21050327.
22 87991.,22087991.
21 29600-5,21029600-5
22 18580-1,22018580-1
22 107659.,22107659.
20 18844-52,20018844-52
9  8307-10,090 8307-10
13 9155-7,13009155-7
22 19188-91,22019188-91
22 61202.,22061202.
1  3994-8,010 3994-8
21 64375.,21064375.
22 32197-8,22032197-8
16 42099-100,16042099-100
1  4139.,010 4139.
21 72652.,21072652.
2  890.,0200 890.
21 23467.,21023467.
22 125302.,22125302.
22 2033.,22002033.
21 19334.,21019334.
21 34688.,21034688.
21 35223.,21035223.
21 35228.,21035228.
21 35237.,21035237.
21 34714.,21034714.
21 4927.,21004927.
14 1571.001,14001571.001
21 5295.,21005295.
21 65378.,21065378.
21 25550.,21025550.
21 65319.,21065319.
21 19975.,21019975.
21 22168.,21022168.
21 70282.,21070282.
21 4917.,21004917.
16 44197.,16044197.
21 5350.,21005350.
21 70521.,21070521.
21 5356.,21005356.
21 74522.,21074522.
21 74521.,21074521.
18 2027.,18002027.
21 74482.006,21074482.006
21 18685.,21018685.
21 22145.,21022145.
21 24245-6,21024245-6
17 11.,17000011.
21 24288-9,21024288-9
21 24554.,21024554.
21 34719.,21034719.
21 34949.,21034949.
21 35051.,21035051.
21 70203.,21070203.
21 70512.,21070512.
21 80669.,21080669.
17 14399.001,17014399.001
21 4928.,21004928.
21 19350.,21019350.
21 64695.,21064695.
21 24572.,21024572.
21 35036.,21035036.
21 35219.,21035219.
1  188.,0100 188.
17 9926-9,17009926-9
16 5903.033,16005903.033
8  3652.,080 3652.
3  204-28,0300 204-28
16 16031-3,16016031-3
16 16031-3,16016031-3
19 1731.002L,19001731.002L
22 19256.,22019256.
22 8044-5,22008044-5
22 18580-1,22018580-1
15 12134.,15012134.
6  5652.,060 5652.
18 6751.002L,18006751.002L
2  163.,0200 163.
1  4056.001,010 4056.001
1  807.,0100 807.
20 13095.,20013095.
20 17986-8,20017986-8
21 29182-6,21029182-6
22 19026.,22019026.
21 12218.,21012218.
3  3095-109,030 3095-109
22 70474.,22070474.
21 9326.,21009326.
22 13221-2,22013221-2
21 78799.,21078799.
20 3657.,20003657.
22 18799-804,22018799-804
15 9713.,15009713.
14 6872.,14006872.
17 5026-34,17005026-34
22 60227.018,22060227.018
10 610.,10000610.
22 75391.,22075391.
21 16466.,21016466.
8  7719.,080 7719.
6  3265.,060 3265.
22 10196-7,22010196-7
21 16756.,21016756.
16 42287.,16042287.
22 86910.,22086910.
16 4323.,16004323.
22 30056.,22030056.
16 26706.,16026706.
16 28918.,16028918.
22 29696.,22029696.
22 29680.003L,22029680.003L
21 16648.,21016648.
21 12220.,21012220.
14 1628.,14001628.
1  8224.,010 8224.
11 1334.,11001334.
21 36308.,21036308.
20 4404.,20004404.
22 81956.,22081956.
22 21030.,22021030.
22 125379.,22125379.
1  4105.,010 4105.
17 8612.002L,17008612.002L
13 18365-6,13018365-6
13 19042.,13019042.
22 70536.,22070536.
22 30610.002,22030610.002
22 5484.,22005484.
13 9088.,13009088.
10 7690-2,10007690-2
22 75474.,22075474.
21 72255.,21072255.
21 56239.,21056239.
2  439.,0200 439.
19 3408.,19003408.
21 5791.,21005791.
1  232.,0100 232.
2  1865.,020 1865.
17 5738.002,17005738.002
2  1200.,020 1200.
10 7996-7,10007996-7
7  1241.,070 1241.
22 19031.003,22019031.003
17 5147.,17005147.
3  62.,03000 62.
3  61.,03000 61.
16 9958.,16009958.
4  3060.,040 3060.
22 56098.,22056098.
22 91710.,22091710.
21 66440.,21066440.
22 68652.017,22068652.017
21 72178.001,21072178.001
16 32163.,16032163.
4  3301.001,040 3301.001
4  2595.,040 2595.
8  2842.,080 2842.
22 16568-71,22016568-71
22 122540.,22122540.
4  3194.,040 3194.
22 89328.,22089328.
9  11688.,09 11688.
4  2218-9,040 2218-9
16 3178.,16003178.
4  952.,0400 952.
22 85341-3,22085341-3
13 11517.,13011517.
16 18281.,16018281.
9  15879.,09 15879.
19 3729.,19003729.
20 17986-8,20017986-8
16 16566.,16016566.
22 60348.,22060348.
13 21304.,13021304.
8  10379.,08 10379.
2  1216.,020 1216.
13 2565.,13002565.
15 12982-4,15012982-4
16 1728.,16001728.
9  16081.,09 16081.
16 40704.,16040704.
22 91162.,22091162.
22 64240.,22064240.
16 20348-9,16020348-9
22 17195.,22017195.
1  4223.,010 4223.
4  2593.,040 2593.
15 10451.,15010451.
1  3873.,010 3873.
1  3869.,010 3869.
12 50.,12000050.
22 6976.001,22006976.001
16 32443.,16032443.
21 61667.,21061667.
16 8546.,16008546.
4  3538.,040 3538.
21 7334.,21007334.
17 6974.,17006974.
22 6268.,22006268.
17 3637.,17003637.
21 55287.,21055287.
16 8534.,16008534.
22 23730.,22023730.
22 31097-8,22031097-8
16 30709.,16030709.
20 5268.,20005268.
2  383.,0200 383.
22 12953.,22012953.
16 40637.,16040637.
22 106574.,22106574.
10 4513.,10004513.
13 15582.,13015582.
11 1173.,11001173.
16 41225.,16041225.
22 81599.,22081599.
16 10706.,16010706.
21 71460.,21071460.
18 6952.,18006952.
22 70474.,22070474.
12 11295.,12011295.
17 10992.,17010992.
21 449-55,21000449-55
16 4911.,16004911.
13 9225.001,13009225.001
15 14170-3,15014170-3
22 18613-7,22018613-7
0,000000
20 17708.001,20017708.001
22 19029.007,22019029.007
22 18915.,22018915.
13 5182.,13005182.
1  3870-2,010 3870-2
13 22854.,13022854.
21 18330.,21018330.
21 69064.,21069064.
21 71576.,21071576.
21 68034.,21068034.
21 22943.,21022943.
21 70529.,21070529.
21 73653.,21073653.
21 64948.,21064948.
21 58019.,21058019.
21 48027.,21048027.
21 48033.,21048033.
21 55967.,21055967.
21 14543.,21014543.
22 74253-7,22074253-7
21 3131.,21003131.
21 22667-8,21022667-8
21 56190.,21056190.
21 78489.,21078489.
2  1892.,020 1892.
21 52451.,21052451.
21 73743.,21073743.
21 53994.,21053994.
15 11243.,15011243.
21 69272.,21069272.
21 53152.,21053152.
13 6796-7,13006796-7
21 18362.,21018362.
21 18618.,21018618.
21 21691.,21021691.
21 21693.,21021693.
21 30784.,21030784.
13 20585.,13020585.
9  6957.,090 6957.
13 6773.,13006773.
13 20786-7,13020786-7
21 53157.,21053157.
9  21918.,09 21918.
13 19989-90,13019989-90
13 21223.,13021223.
9  5329.,090 5329.
21 51560.,21051560.
13 23776.,13023776.
13 21428.,13021428.
13 24222.,13024222.
15 11347.,15011347.
21 51445.,21051445.
17 13865.,17013865.
15 11328.,15011328.
21 51444.,21051444.
21 54010.,21054010.
21 54682.,21054682.
19 7367.,19007367.
21 24285-7,21024285-7
21 36280.,21036280.
9  5276.,090 5276.
13 20900.,13020900.
21 66320.,21066320.
21 24578-9,21024578-9
21 59502.,21059502.
13 21560.,13021560.
21 59424.,21059424.
15 9293.,15009293.
15 9242.,15009242.
15 9240.,15009240.
21 30654.,21030654.
21 30787.,21030787.
17 16163.,17016163.
17 16688.,17016688.
22 87600.,22087600.
17 14121.,17014121.
17 14122.,17014122.
21 36112-3,21036112-3
21 36294.,21036294.
21 59420.,21059420.
21 58556.,21058556.
21 59415.,21059415.
21 59414.,21059414.
22 53385.,22053385.
21 16260.,21016260.
21 69133.,21069133.
8  574.,0800 574.
22 61957.,22061957.
22 91039.049,22091039.049
9  17233.,09 17233.
16 44747.,16044747.
3  2109.,030 2109.
22 8376-7,22008376-7
9  24609-13,09 24609-13
13 17983.,13017983.
22 56753.,22056753.
22 61926.,22061926.
5  3008.,050 3008.
22 80291-3,22080291-3
13 6809.,13006809.
18 12776.,18012776.
9  23562.,09 23562.
21 24108.,21024108.
2  2014.,020 2014.
21 46154.,21046154.
21 46154.,21046154.
3  1206.,030 1206.
15 5034-6,15005034-6
15 14444.001,15014444.001
1  4159.040,010 4159.040
22 74512-3,22074512-3
12 11094.,12011094.
6  2233.,060 2233.
13 6809.,13006809.
22 60391.,22060391.
6  442-8,0600 442-8
22 51415-20,22051415-20
4  113.,0400 113.
9  14148-9,09 14148-9
3  197.,0300 197.
4  829.002,0400 829.002
3  1547.,030 1547.
3  1546.,030 1546.
3  1545.,030 1545.
3  1544.,030 1544.
1  4142-54,010 4142-54
1  4163.,010 4163.
22 6974.,22006974.
17 10466.,17010466.
17 10509-10,17010509-10
19 5718.,19005718.
19 6387.,19006387.
21 18363.,21018363.
21 22380.,21022380.
9  4067.,090 4067.
9  9870.,090 9870.
9  9609.,090 9609.
16 9426.,16009426.
1  8191.,010 8191.
22 18923.,22018923.
22 5597-9,22005597-9
22 108610.,22108610.
22 29015.,22029015.
15 3105.,15003105.
22 103326.,22103326.
16 33264.,16033264.
22 82473.,22082473.
1  3890-2,010 3890-2
20 9154.,20009154.
16 42150.,16042150.
22 69407.,22069407.
22 124999.,22124999.
22 75223.,22075223.
21 43622.,21043622.
14 12179.,14012179.
13 6809.,13006809.
13 6809.,13006809.
13 6809.,13006809.
16 4886.,16004886.
16 17718-9,16017718-9
1  1.,010000 1.
22 120079-80,22120079-80
22 58730.,22058730.
22 6954-60,22006954-60
22 74390-414,22074390-414
22 17888.,22017888.
2  1212.,020 1212.
15 4858.,15004858.
16 27559.,16027559.
9  16115.,09 16115.
1  8195.,010 8195.
21 75194.,21075194.
1  7963-8191,010 7963-8191
16 286.001,16000286.001
11 2279-83,11002279-83
22 122060-2,22122060-2
1  4068-86,010 4068-86
17 7378.,17007378.
21 42535.,21042535.
13 18187.,13018187.
21 452.,21000452.
12 9102-3,12009102-3
9  11557.,09 11557.
22 16670.002,22016670.002
22 45122.,22045122.
22 93020.,22093020.
14 4812.,14004812.
13 15016.,13015016.
21 75553.004,21075553.004
21 74042.,21074042.
22 32475.,22032475.
22 41081.,22041081.
22 2898-9,22002898-9
7  790.,0700 790.
16 20848.,16020848.
21 18482.,21018482.
21 5335.001,21005335.001
22 120900.,22120900.
21 51968-9,21051968-9
16 36318.,16036318.
22 87112.,22087112.
22 118465.,22118465.
22 98590.005,22098590.005
22 70075.,22070075.
22 41647.,22041647.
22 123443.002L,22123443.002L
21 33146.,21033146.
16 40508.,16040508.
21 4604.,21004604.
19 29.,19000029.
18 3541-4,18003541-4
22 16922.003L,22016922.003L
22 125497-8,22125497-8
16 14495.,16014495.
22 19029.016L,22019029.016L
21 64929.,21064929.
3  34-5,03000 34-5
21 28900-3,21028900-3
16 20151.,16020151.
22 7855-67,22007855-67
22 74253-7,22074253-7
13 22599.,13022599.
22 18916-7,22018916-7
16 38663.,16038663.
16 12865.,16012865.
22 49850-5,22049850-5
17 6564.,17006564.
18 600.,18000600.
21 28375-87,21028375-87
21 51954-5,21051954-5
22 30882.001,22030882.001
19 10538.,19010538.
21 46597.,21046597.
21 62403.,21062403.
21 52486.,21052486.
4  1480.,040 1480.
15 10055.,15010055.
22 17196-201,22017196-201
22 19188-91,22019188-91
13 9128.002L,13009128.002L
22 16810.,22016810.
22 107319.,22107319.
12 7383.,12007383.
22 74512-3,22074512-3
16 16172-7,16016172-7
21 43951.,21043951.
20 14863.,20014863.
16 27740.,16027740.
17 6003.,17006003.
1  1515.,010 1515.
21 28360-2,21028360-2
9  17364.,09 17364.
4  3060.,040 3060.
2  3017.,020 3017.
16 37245.,16037245.
22 116714.006,22116714.006
8  3309.,080 3309.
22 15526.,22015526.
21 26448.,21026448.
22 54510.,22054510.
2  287.,0200 287.
22 58711.,22058711.
1  1217.,010 1217.
15 8648.,15008648.
22 29634-39,22029634-39
22 4774.,22004774.
6  1208-38,060 1208-38
22 22522.,22022522.
21 21220-1,21021220-1
15 5315-23,15005315-23
21 20745-9,21020745-9
16 1501.,16001501.
20 4324.,20004324.
22 33021.,22033021.
18 17114.,18017114.
2 294-7,02000294-7
13 25149-54,13025149-54
21 56028.,21056028.
22 38010.,22038010.
22 18638.,22018638.
22 18623.,22018623.
20 9452.002L,20009452.002L
22 16832.,22016832.
9  8289-90,090 8289-90
22 7494.,22007494.
9  15765.,09 15765.
1  1217.,010 1217.
21 14107.,21014107.
16 28017.,16028017.
9  13518.,09 13518.
22 17061.,22017061.
20 17986-8,20017986-8
22 10770.,22010770.
19 10440.,19010440.
8  9258.,080 9258.
13 6809.,13006809.
19 4657.,19004657.
14 5119.,14005119.
16 8829.,16008829.
2  390.,0200 390.
2  387.,0200 387.
13 6809.,13006809.
22 7990-1,22007990-1
17 14.,17000014.
20 15967.,20015967.
13 6809.,13006809.
18 957.,18000957.
8  9853.,080 9853.
22 82540.,22082540.
21 27697.,21027697.
18 10970.,18010970.
18 1935.,18001935.
18 7768.,18007768.
20 13868-9,20013868-9
20 3297.,20003297.
20 6789.,20006789.
20 6788.,20006788.
20 14727.,20014727.
20 8595.,20008595.
20 12095.,20012095.
20 18408.,20018408.
6  2749.,060 2749.
22 66458.,22066458.
8  5740.,080 5740.
3  2065.,030 2065.
8  9153.,080 9153.
12 8966.,12008966.
14 1315.,14001315.
14 1310.,14001310.
18 577.,18000577.
18 10433.,18010433.
3  2391.,030 2391.
14 6375.,14006375.
6  2728.,060 2728.
20 7638.,20007638.
1  2132.,010 2132.
20 14238.,20014238.
3  2640.,030 2640.
4  2824.,040 2824.
20 1953-4,20001953-4
20 2323.,20002323.
18 10556.,18010556.
1  2960.,010 2960.
16 10611.,16010611.
16 11146.,16011146.
16 13681.,16013681.
16 14502.,16014502.
18 11318.,18011318.
16 15470.,16015470.
16 15498.,16015498.
20 1503.,20001503.
16 15500.,16015500.
5  3158-9,050 3158-9
20 6581.,20006581.
18 1832.,18001832.
18 1878.,18001878.
22 7086.,22007086.
16 498.,16000498.
18 1936.,18001936.
16 16975.,16016975.
18 2501.,18002501.
18 2502.,18002502.
1  4809.,010 4809.
18 2536.,18002536.
18 2734.,18002734.
1  4956.,010 4956.
1  5109.,010 5109.
9  10181.,09 10181.
13 6809.,13006809.
9  10926-7,09 10926-7
9  13020.,09 13020.
21 66181.,21066181.
9  13765.,09 13765.
13 19871.,13019871.
21 23350.,21023350.
21 33225.,21033225.
21 22417.,21022417.
1  9600-1,010 9600-1
21 19405.,21019405.
13 12343.,13012343.
1  6552.,010 6552.
6  2712.,060 2712.
22 15983.,22015983.
6  2735.,060 2735.
2  1225.,020 1225.
10 6087.,10006087.
18 2917.,18002917.
18 7430.,18007430.
18 7442.,18007442.
18 10192.,18010192.
18 10311.,18010311.
18 10610.,18010610.
12 7383.,12007383.
20 2936.,20002936.
12 7395.,12007395.
16 16255.,16016255.
14 10855.,14010855.
18 8923.,18008923.
20 1987.,20001987.
20 4041.,20004041.
20 2490.,20002490.
12 8819.,12008819.
12 9438.,12009438.
14 8433.,14008433.
20 2036.,20002036.
14 9071.,14009071.
14 10385.,14010385.
18 2995.,18002995.
14 10465.,14010465.
16 1169.,16001169.
16 1537.,16001537.
16 9694.,16009694.
18 2994.,18002994.
20 10129-37,20010129-37
20 10078.,20010078.
20 10060-1,20010060-1
18 10873.,18010873.
18 11384.,18011384.
18 11596.,18011596.
20 10087.,20010087.
18 11798.,18011798.
18 12006.,18012006.
18 12104.,18012104.
20 10058.,20010058.
18 12114.,18012114.
18 13086.,18013086.
20 3164.,20003164.
20 13203.032,20013203.032
20 3923.,20003923.
20 4863.,20004863.
20 6965.,20006965.
20 7813.,20007813.
20 9484.,20009484.
20 14449.,20014449.
20 10310.,20010310.
20 10944.,20010944.
20 14583.,20014583.
20 14726.,20014726.
20 15322.,20015322.
20 18454.,20018454.
20 13281.002,20013281.002
20 15899.,20015899.
20 8452.,20008452.
20 6720.,20006720.
18 1208.,18001208.
20 3924.,20003924.
20 6658.,20006658.
20 11224.001,20011224.001
21 24520.,21024520.
20 11931-2,20011931-2
20 15335.,20015335.
20 2753.,20002753.
18 10404.,18010404.
16 1437.,16001437.
16 1438.,16001438.
16 14634-5,16014634-5
18 10855.,18010855.
20 4170.,20004170.
16 13682.,16013682.
16 13871.,16013871.
16 13873.,16013873.
8  10378.,08 10378.
18 2846.,18002846.
20 7362.,20007362.
20 12662.,20012662.
22 19038.002,22019038.002
13 6809.,13006809.
18 5161-4,18005161-4
13 6809.,13006809.
13 6809.,13006809.
13 6809.,13006809.
22 119243.,22119243.
22 74956.,22074956.
22 91032.,22091032.
20 14287.,20014287.
16 8346.,16008346.
21 10032.,21010032.
22 112848.,22112848.
13 9831.,13009831.
13 2022.,13002022.
21 36849.,21036849.
21 50756.,21050756.
21 51516.,21051516.
21 50766.,21050766.
21 50678.,21050678.
21 49828.,21049828.
21 60918.,21060918.
11 1260.,11001260.
13 1569.,13001569.
13 1485.,13001485.
13 1765.,13001765.
21 50772.,21050772.
16 30387.,16030387.
21 55928.,21055928.
11 1047.,11001047.
13 1164.,13001164.
13 1723.,13001723.
13 1131.,13001131.
9  4028.,090 4028.
13 6809.,13006809.
13 6809.,13006809.
10 3428.,10003428.
21 80444.,21080444.
21 38649.,21038649.
4  1758.,040 1758.
10 2491.,10002491.
22 58931.,22058931.
14 8397.,14008397.
21 28244-8,21028244-8
18 6058.,18006058.
16 32632.,16032632.
22 47345.,22047345.
17 6229.,17006229.
22 24901.,22024901.
22 118378-9,22118378-9
1  1323.001,010 1323.001
22 100717.,22100717.
21 49541-2,21049541-2
22 36924.,22036924.
6  4348.001,060 4348.001
22 71715.,22071715.
22 64227.,22064227.
1  3935.,010 3935.
16 28230.,16028230.
22 60233.,22060233.
2  890.,0200 890.
17 10726.,17010726.
21 67359.,21067359.
1  7963-8191,010 7963-8191
16 27689.006L,16027689.006L
22 17317-26,22017317-26
6  1777.,060 1777.
22 59234.,22059234.
22 16242.,22016242.
22 67999.,22067999.
22 21175.,22021175.
7  350-84,0700 350-84
22 17620.,22017620.
22 89638.,22089638.
22 100175.,22100175.
22 107100.,22107100.
22 100415-6,22100415-6
22 111815.,22111815.
22 111846.,22111846.
22 114468-9,22114468-9
22 114400.,22114400.
16 32064.,16032064.
22 106368.,22106368.
17 1773.,17001773.
22 99008.,22099008.
22 99828.,22099828.
22 99827.,22099827.
22 110321.,22110321.
22 109794.,22109794.
22 108370.,22108370.
22 108371.,22108371.
22 108716.,22108716.
22 101148.,22101148.
22 10506.,22010506.
22 79175.,22079175.
22 15565.003,22015565.003
22 80502.,22080502.
22 79800.,22079800.
22 79801.,22079801.
22 88295.,22088295.
22 88343.,22088343.
22 83027.,22083027.
22 77993.,22077993.
22 85960.,22085960.
22 87671.,22087671.
22 87125.,22087125.
22 87131.,22087131.
22 125800.,22125800.
22 125803.,22125803.
22 125837.,22125837.
20 11688.,20011688.
15 233.,15000233.
21 35207.,21035207.
21 35220.,21035220.
21 35085.,21035085.
22 30520.,22030520.
21 35074.,21035074.
21 35157.,21035157.
21 13013-4,21013013-4
17 14260.,17014260.
17 16013.,17016013.
21 13002.,21013002.
21 35691.,21035691.
13 14839.,13014839.
16 29365.,16029365.
8  5158.,080 5158.
8  9558.,080 9558.
8  9909.,080 9909.
12 5781.,12005781.
12 10695.,12010695.
12 11951.,12011951.
12 12538.,12012538.
12 12547.,12012547.
22 61833-4,22061833-4
16 22754.,16022754.
16 23310.,16023310.
9  5879.,090 5879.
16 26046.,16026046.
16 29914.,16029914.
22 59532.014,22059532.014
22 77467.,22077467.
9  7005.,090 7005.
9  7006.,090 7006.
9  6993.,090 6993.
9  7159.,090 7159.
9  22779.,09 22779.
9  22756.,09 22756.
9  22754.,09 22754.
9  21920.,09 21920.
9  21916.,09 21916.
9  21914.,09 21914.
13 7902.,13007902.
13 7917.,13007917.
13 12718.,13012718.
9  12905.,09 12905.
9  12330.,09 12330.
1  8195.,010 8195.
9  12847.,09 12847.
9  12879.,09 12879.
8  7347.,080 7347.
8  7808.,080 7808.
8  7816.,080 7816.
8  4782.,080 4782.
12 11887.,12011887.
9  6251.,090 6251.
9  12825.,09 12825.
8  9733.,080 9733.
